,Gene_MEND52
7975,GRCh38______CCDC96
7976,GRCh38______TADA2B
7977,GRCh38______GRPEL1
7978,GRCh38______LINC02447
7979,GRCh38______SORCS2
7980,GRCh38______PSAPL1
7981,GRCh38______AFAP1-AS1
7982,GRCh38______AFAP1
7983,GRCh38______AC112254.1
7984,GRCh38______AC097381.1
7985,GRCh38______ABLIM2
7986,GRCh38______AC097381.3
7987,GRCh38______AC097381.2
7988,GRCh38______SH3TC1
7989,GRCh38______HTRA3
7990,GRCh38______LINC02517
7991,GRCh38______AC104825.1
7992,GRCh38______ACOX3
7993,GRCh38______TRMT44
7994,GRCh38______AC105345.2
7995,GRCh38______AC105345.1
7996,GRCh38______GPR78
7997,GRCh38______CPZ
7998,GRCh38______AC209005.1
7999,GRCh38______HMX1
8000,GRCh38______AC116612.1
8001,GRCh38______AC108519.1
8002,GRCh38______AC073648.7
8003,GRCh38______FAM90A26
8004,GRCh38______USP17L10
8005,GRCh38______USP17L11
8006,GRCh38______USP17L12
8007,GRCh38______USP17L13
8008,GRCh38______USP17L15
8009,GRCh38______USP17L17
8010,GRCh38______USP17L18
8011,GRCh38______USP17L19
8012,GRCh38______USP17L20
8013,GRCh38______USP17L21
8014,GRCh38______USP17L22
8015,GRCh38______USP17L23
8016,GRCh38______USP17L24
8017,GRCh38______USP17L25
8018,GRCh38______USP17L26
8019,GRCh38______USP17L5
8020,GRCh38______USP17L27
8021,GRCh38______USP17L28
8022,GRCh38______USP17L29
8023,GRCh38______USP17L30
8024,GRCh38______DEFB131A
8025,GRCh38______AC105916.1
8026,GRCh38______SLC2A9
8027,GRCh38______DRD5
8028,GRCh38______AC108199.1
8029,GRCh38______AC005674.1
8030,GRCh38______AC005674.2
8031,GRCh38______WDR1
8032,GRCh38______ZNF518B
8033,GRCh38______AC005599.1
8034,GRCh38______CLNK
8035,GRCh38______AC084048.1
8036,GRCh38______LINC02498
8037,GRCh38______HS3ST1
8038,GRCh38______AC006230.1
8039,GRCh38______AC025539.1
8040,GRCh38______AC005699.1
8041,GRCh38______LINC02360
8042,GRCh38______AC108037.1
8043,GRCh38______LINC02270
8044,GRCh38______AC007370.2
8045,GRCh38______AC007370.1
8046,GRCh38______RAB28
8047,GRCh38______AC006445.3
8048,GRCh38______LINC01097
8049,GRCh38______NKX3-2
8050,GRCh38______LINC01096
8051,GRCh38______BOD1L1
8052,GRCh38______LINC01182
8053,GRCh38______AC007126.1
8054,GRCh38______AC073848.1
8055,GRCh38______AC092546.1
8056,GRCh38______AC006296.3
8057,GRCh38______AC006296.2
8058,GRCh38______AC006296.1
8059,GRCh38______LINC00504
8060,GRCh38______CPEB2-DT
8061,GRCh38______CPEB2
8062,GRCh38______AC098829.1
8063,GRCh38______C1QTNF7
8064,GRCh38______AC099550.1
8065,GRCh38______CC2D2A
8066,GRCh38______AC116651.1
8067,GRCh38______FBXL5
8068,GRCh38______FAM200B
8069,GRCh38______BST1
8070,GRCh38______CD38
8071,GRCh38______FGFBP1
8072,GRCh38______FGFBP2
8073,GRCh38______PROM1
8074,GRCh38______AC108063.2
8075,GRCh38______TAPT1
8076,GRCh38______AC108063.1
8077,GRCh38______TAPT1-AS1
8078,GRCh38______AC006427.2
8079,GRCh38______AC097515.1
8080,GRCh38______LDB2
8081,GRCh38______AC104656.1
8082,GRCh38______AC106894.1
8083,GRCh38______LINC02493
8084,GRCh38______QDPR
8085,GRCh38______CLRN2
8086,GRCh38______LAP3
8087,GRCh38______AC006160.1
8088,GRCh38______MED28
8089,GRCh38______FAM184B
8090,GRCh38______DCAF16
8091,GRCh38______NCAPG
8092,GRCh38______LCORL
8093,GRCh38______AC093898.1
8094,GRCh38______AC093871.1
8095,GRCh38______LINC02438
8096,GRCh38______AC024230.1
8097,GRCh38______AC110767.1
8098,GRCh38______SLIT2
8099,GRCh38______SLIT2-IT1
8100,GRCh38______PACRGL
8101,GRCh38______KCNIP4
8102,GRCh38______AC097505.1
8103,GRCh38______AC110296.1
8104,GRCh38______AC096576.6
8105,GRCh38______AC096576.3
8106,GRCh38______AC096576.2
8107,GRCh38______KCNIP4-IT1
8108,GRCh38______AC096719.1
8109,GRCh38______ADGRA3
8110,GRCh38______AC097512.1
8111,GRCh38______AC092440.1
8112,GRCh38______AC093607.1
8113,GRCh38______ERVH-1
8114,GRCh38______PPARGC1A
8115,GRCh38______AC092834.1
8116,GRCh38______DHX15
8117,GRCh38______LINC02473
8118,GRCh38______SOD3
8119,GRCh38______CCDC149
8120,GRCh38______LGI2
8121,GRCh38______SEPSECS
8122,GRCh38______SEPSECS-AS1
8123,GRCh38______PI4K2B
8124,GRCh38______AC104662.1
8125,GRCh38______ZCCHC4
8126,GRCh38______ANAPC4
8127,GRCh38______AC105290.1
8128,GRCh38______SLC34A2
8129,GRCh38______SEL1L3
8130,GRCh38______AC092436.3
8131,GRCh38______SMIM20
8132,GRCh38______AC133961.1
8133,GRCh38______LINC02357
8134,GRCh38______RBPJ
8135,GRCh38______CCKAR
8136,GRCh38______TBC1D19
8137,GRCh38______STIM2
8138,GRCh38______STIM2-AS1
8139,GRCh38______AC024132.2
8140,GRCh38______AC024132.1
8141,GRCh38______LINC02261
8142,GRCh38______AC024132.3
8143,GRCh38______AC007106.2
8144,GRCh38______AC007106.1
8145,GRCh38______AC093791.2
8146,GRCh38______AC093791.1
8147,GRCh38______AC097480.1
8148,GRCh38______AC097480.2
8149,GRCh38______LINC02364
8150,GRCh38______AC068944.1
8151,GRCh38______AC109349.1
8152,GRCh38______LINC02472
8153,GRCh38______AC098595.1
8154,GRCh38______PCDH7
8155,GRCh38______AC097716.1
8156,GRCh38______LINC02497
8157,GRCh38______AC104071.1
8158,GRCh38______LINC02501
8159,GRCh38______LINC02506
8160,GRCh38______AC097654.1
8161,GRCh38______LINC02353
8162,GRCh38______AC116611.1
8163,GRCh38______AC093606.1
8164,GRCh38______AC097535.1
8165,GRCh38______AC079772.1
8166,GRCh38______AC016687.3
8167,GRCh38______AC016687.2
8168,GRCh38______LINC02484
8169,GRCh38______AC110790.1
8170,GRCh38______AC093689.1
8171,GRCh38______ARAP2
8172,GRCh38______AC104078.1
8173,GRCh38______DTHD1
8174,GRCh38______AC104078.2
8175,GRCh38______LINC02505
8176,GRCh38______AC093746.1
8177,GRCh38______LINC02616
8178,GRCh38______AL136537.1
8179,GRCh38______NWD2
8180,GRCh38______C4orf19
8181,GRCh38______AC022463.1
8182,GRCh38______AC027607.1
8183,GRCh38______RELL1
8184,GRCh38______PGM2
8185,GRCh38______TBC1D1
8186,GRCh38______PTTG2
8187,GRCh38______AC098680.2
8188,GRCh38______AC098680.1
8189,GRCh38______LINC02513
8190,GRCh38______LINC01258
8191,GRCh38______LINC01259
8192,GRCh38______LINC02278
8193,GRCh38______KLF3-AS1
8194,GRCh38______AC021860.1
8195,GRCh38______KLF3
8196,GRCh38______TLR10
8197,GRCh38______TLR1
8198,GRCh38______TLR6
8199,GRCh38______FAM114A1
8200,GRCh38______TMEM156
8201,GRCh38______KLHL5
8202,GRCh38______AC079921.1
8203,GRCh38______AC079921.2
8204,GRCh38______WDR19
8205,GRCh38______RFC1
8206,GRCh38______KLB
8207,GRCh38______RPL9
8208,GRCh38______LIAS
8209,GRCh38______UGDH
8210,GRCh38______UGDH-AS1
8211,GRCh38______AC021148.2
8212,GRCh38______SMIM14
8213,GRCh38______AC108471.3
8214,GRCh38______AC108471.2
8215,GRCh38______UBE2K
8216,GRCh38______PDS5A
8217,GRCh38______N4BP2
8218,GRCh38______AC095057.3
8219,GRCh38______AC095057.4
8220,GRCh38______RHOH
8221,GRCh38______AC095057.2
8222,GRCh38______LINC02265
8223,GRCh38______CHRNA9
8224,GRCh38______RBM47
8225,GRCh38______AC098869.2
8226,GRCh38______AC131953.2
8227,GRCh38______NSUN7
8228,GRCh38______APBB2
8229,GRCh38______AC131953.1
8230,GRCh38______UCHL1-AS1
8231,GRCh38______UCHL1
8232,GRCh38______LIMCH1
8233,GRCh38______AC108050.1
8234,GRCh38______AC105389.2
8235,GRCh38______PHOX2B
8236,GRCh38______AC105389.3
8237,GRCh38______AC105389.1
8238,GRCh38______LINC00682
8239,GRCh38______AC108210.1
8240,GRCh38______TMEM33
8241,GRCh38______DCAF4L1
8242,GRCh38______AC106052.1
8243,GRCh38______SLC30A9
8244,GRCh38______BEND4
8245,GRCh38______AC111006.1
8246,GRCh38______AC024022.1
8247,GRCh38______SHISA3
8248,GRCh38______ATP8A1
8249,GRCh38______AC096734.2
8250,GRCh38______AC096734.1
8251,GRCh38______GRXCR1
8252,GRCh38______AC111198.1
8253,GRCh38______AC097451.1
8254,GRCh38______LINC02383
8255,GRCh38______AC080132.1
8256,GRCh38______AC114757.1
8257,GRCh38______LINC02475
8258,GRCh38______KCTD8
8259,GRCh38______YIPF7
8260,GRCh38______GUF1
8261,GRCh38______GNPDA2
8262,GRCh38______AC096586.2
8263,GRCh38______AC096586.1
8264,GRCh38______AC108467.1
8265,GRCh38______GABRG1
8266,GRCh38______AC104072.1
8267,GRCh38______GABRA2
8268,GRCh38______AC095060.1
8269,GRCh38______COX7B2
8270,GRCh38______GABRA4
8271,GRCh38______GABRB1
8272,GRCh38______AC107398.3
8273,GRCh38______COMMD8
8274,GRCh38______AC107398.4
8275,GRCh38______AC107398.5
8276,GRCh38______ATP10D
8277,GRCh38______AC107398.2
8278,GRCh38______CORIN
8279,GRCh38______AC107068.2
8280,GRCh38______AC107068.1
8281,GRCh38______NFXL1
8282,GRCh38______NIPAL1
8283,GRCh38______CNGA1
8284,GRCh38______TXK
8285,GRCh38______TEC
8286,GRCh38______SLAIN2
8287,GRCh38______SLC10A4
8288,GRCh38______ZAR1
8289,GRCh38______FRYL
8290,GRCh38______OCIAD1
8291,GRCh38______OCIAD1-AS1
8292,GRCh38______OCIAD2
8293,GRCh38______CWH43
8294,GRCh38______DCUN1D4
8295,GRCh38______AC027271.1
8296,GRCh38______LRRC66
8297,GRCh38______SGCB
8298,GRCh38______LINC02480
8299,GRCh38______SPATA18
8300,GRCh38______AC097522.2
8301,GRCh38______USP46
8302,GRCh38______USP46-AS1
8303,GRCh38______AC104066.3
8304,GRCh38______LINC01618
8305,GRCh38______DANCR
8306,GRCh38______AC104066.4
8307,GRCh38______ERVMER34-1
8308,GRCh38______RASL11B
8309,GRCh38______SCFD2
8310,GRCh38______AC023154.1
8311,GRCh38______FIP1L1
8312,GRCh38______LNX1
8313,GRCh38______LNX1-AS1
8314,GRCh38______LNX1-AS2
8315,GRCh38______AC124017.1
8316,GRCh38______AC105384.1
8317,GRCh38______AC110792.3
8318,GRCh38______CHIC2
8319,GRCh38______AC110792.2
8320,GRCh38______AC110792.4
8321,GRCh38______GSX2
8322,GRCh38______PDGFRA
8323,GRCh38______LINC02283
8324,GRCh38______AC098587.1
8325,GRCh38______AC098868.1
8326,GRCh38______LINC02260
8327,GRCh38______KIT
8328,GRCh38______AC097494.1
8329,GRCh38______LINC02358
8330,GRCh38______AC111194.1
8331,GRCh38______AC111194.2
8332,GRCh38______KDR
8333,GRCh38______AC021220.2
8334,GRCh38______SRD5A3
8335,GRCh38______SRD5A3-AS1
8336,GRCh38______AC069200.1
8337,GRCh38______TMEM165
8338,GRCh38______CLOCK
8339,GRCh38______AC024243.1
8340,GRCh38______PDCL2
8341,GRCh38______NMU
8342,GRCh38______EXOC1L
8343,GRCh38______EXOC1
8344,GRCh38______AC110611.1
8345,GRCh38______AC110611.2
8346,GRCh38______CEP135
8347,GRCh38______KIAA1211
8348,GRCh38______AC022267.1
8349,GRCh38______AASDH
8350,GRCh38______AC068620.1
8351,GRCh38______PPAT
8352,GRCh38______AC068620.2
8353,GRCh38______PAICS
8354,GRCh38______SRP72
8355,GRCh38______ARL9
8356,GRCh38______THEGL
8357,GRCh38______HOPX
8358,GRCh38______SPINK2
8359,GRCh38______REST
8360,GRCh38______AC069307.1
8361,GRCh38______NOA1
8362,GRCh38______POLR2B
8363,GRCh38______IGFBP7
8364,GRCh38______IGFBP7-AS1
8365,GRCh38______AC111197.1
8366,GRCh38______AC105390.1
8367,GRCh38______LINC02380
8368,GRCh38______AC013724.1
8369,GRCh38______AC107396.1
8370,GRCh38______AC093725.2
8371,GRCh38______AC093725.1
8372,GRCh38______AC104790.1
8373,GRCh38______LINC02494
8374,GRCh38______AC019133.1
8375,GRCh38______AC017091.1
8376,GRCh38______LINC02619
8377,GRCh38______LINC02429
8378,GRCh38______AC097501.1
8379,GRCh38______AC108517.2
8380,GRCh38______AC108517.1
8381,GRCh38______AC096588.1
8382,GRCh38______AC093857.1
8383,GRCh38______AC092596.1
8384,GRCh38______LINC02496
8385,GRCh38______LINC02271
8386,GRCh38______ADGRL3
8387,GRCh38______AC020741.1
8388,GRCh38______ADGRL3-AS1
8389,GRCh38______AC097491.1
8390,GRCh38______AC093730.1
8391,GRCh38______TECRL
8392,GRCh38______AC104689.2
8393,GRCh38______LINC02232
8394,GRCh38______LINC02835
8395,GRCh38______EPHA5
8396,GRCh38______EPHA5-AS1
8397,GRCh38______AC104137.1
8398,GRCh38______AC097110.1
8399,GRCh38______AC116049.2
8400,GRCh38______AC096721.1
8401,GRCh38______AC110809.1
8402,GRCh38______AC104806.2
8403,GRCh38______CENPC
8404,GRCh38______STAP1
8405,GRCh38______UBA6
8406,GRCh38______UBA6-AS1
8407,GRCh38______GNRHR
8408,GRCh38______TMPRSS11D
8409,GRCh38______TMPRSS11A
8410,GRCh38______TMPRSS11F
8411,GRCh38______TMPRSS11B
8412,GRCh38______YTHDC1
8413,GRCh38______TMPRSS11E
8414,GRCh38______UGT2B17
8415,GRCh38______UGT2B15
8416,GRCh38______UGT2B10
8417,GRCh38______AC021146.12
8418,GRCh38______UGT2A3
8419,GRCh38______UGT2B7
8420,GRCh38______AC111000.4
8421,GRCh38______UGT2B11
8422,GRCh38______UGT2B28
8423,GRCh38______UGT2B4
8424,GRCh38______UGT2A1
8425,GRCh38______UGT2A2
8426,GRCh38______SULT1B1
8427,GRCh38______SULT1E1
8428,GRCh38______CSN1S1
8429,GRCh38______CSN2
8430,GRCh38______STATH
8431,GRCh38______HTN3
8432,GRCh38______HTN1
8433,GRCh38______PRR27
8434,GRCh38______ODAM
8435,GRCh38______FDCSP
8436,GRCh38______CSN3
8437,GRCh38______CABS1
8438,GRCh38______SMR3A
8439,GRCh38______SMR3B
8440,GRCh38______OPRPN
8441,GRCh38______MUC7
8442,GRCh38______AMTN
8443,GRCh38______AMBN
8444,GRCh38______ENAM
8445,GRCh38______AC009570.2
8446,GRCh38______JCHAIN
8447,GRCh38______UTP3
8448,GRCh38______AC009570.1
8449,GRCh38______RUFY3
8450,GRCh38______GRSF1
8451,GRCh38______MOB1B
8452,GRCh38______DCK
8453,GRCh38______SLC4A4
8454,GRCh38______GC
8455,GRCh38______AC068721.1
8456,GRCh38______NPFFR2
8457,GRCh38______ADAMTS3
8458,GRCh38______AC095056.1
8459,GRCh38______COX18
8460,GRCh38______ANKRD17
8461,GRCh38______AC053527.2
8462,GRCh38______ALB
8463,GRCh38______AFP
8464,GRCh38______AFM
8465,GRCh38______LINC02499
8466,GRCh38______RASSF6
8467,GRCh38______UMLILO
8468,GRCh38______CXCL8
8469,GRCh38______CXCL6
8470,GRCh38______PF4V1
8471,GRCh38______CXCL1
8472,GRCh38______PF4
8473,GRCh38______PPBP
8474,GRCh38______CXCL5
8475,GRCh38______AC097709.1
8476,GRCh38______CXCL3
8477,GRCh38______AC093677.3
8478,GRCh38______CXCL2
8479,GRCh38______MTHFD2L
8480,GRCh38______AC093677.2
8481,GRCh38______EPGN
8482,GRCh38______EREG
8483,GRCh38______AC021180.1
8484,GRCh38______AREG
8485,GRCh38______AC239584.1
8486,GRCh38______BTC
8487,GRCh38______AC098825.1
8488,GRCh38______PARM1
8489,GRCh38______AC110760.2
8490,GRCh38______AC110760.1
8491,GRCh38______LINC02562
8492,GRCh38______AC025244.1
8493,GRCh38______AC025244.2
8494,GRCh38______LINC02483
8495,GRCh38______AC096759.1
8496,GRCh38______AC096759.2
8497,GRCh38______RCHY1
8498,GRCh38______THAP6
8499,GRCh38______ODAPH
8500,GRCh38______CDKL2
8501,GRCh38______G3BP2
8502,GRCh38______USO1
8503,GRCh38______AC110615.1
8504,GRCh38______PPEF2
8505,GRCh38______NAAA
8506,GRCh38______SDAD1
8507,GRCh38______AC112719.2
8508,GRCh38______CXCL9
8509,GRCh38______ART3
8510,GRCh38______CXCL10
8511,GRCh38______CXCL11
8512,GRCh38______NUP54
8513,GRCh38______AC110795.1
8514,GRCh38______SCARB2
8515,GRCh38______FAM47E
8516,GRCh38______AC034139.1
8517,GRCh38______STBD1
8518,GRCh38______CCDC158
8519,GRCh38______SHROOM3
8520,GRCh38______AC107072.2
8521,GRCh38______AC107072.1
8522,GRCh38______SOWAHB
8523,GRCh38______SEPTIN11
8524,GRCh38______CCNI
8525,GRCh38______CCNG2
8526,GRCh38______AC092674.1
8527,GRCh38______CXCL13
8528,GRCh38______CNOT6L
8529,GRCh38______MRPL1
8530,GRCh38______FRAS1
8531,GRCh38______ANXA3
8532,GRCh38______LINC01094
8533,GRCh38______AC112253.1
8534,GRCh38______AC098818.2
8535,GRCh38______BMP2K
8536,GRCh38______PAQR3
8537,GRCh38______LINC01088
8538,GRCh38______NAA11
8539,GRCh38______GK2
8540,GRCh38______LINC00989
8541,GRCh38______AC092542.1
8542,GRCh38______LINC02469
8543,GRCh38______PCAT4
8544,GRCh38______ANTXR2
8545,GRCh38______AC021127.1
8546,GRCh38______PRDM8
8547,GRCh38______FGF5
8548,GRCh38______CFAP299
8549,GRCh38______BMP3
8550,GRCh38______PRKG2
8551,GRCh38______AC139722.1
8552,GRCh38______RASGEF1B
8553,GRCh38______AC124016.2
8554,GRCh38______HNRNPD
8555,GRCh38______AC124016.1
8556,GRCh38______HNRNPDL
8557,GRCh38______ENOPH1
8558,GRCh38______TMEM150C
8559,GRCh38______LINC00575
8560,GRCh38______AC067942.4
8561,GRCh38______SCD5
8562,GRCh38______SEC31A
8563,GRCh38______THAP9-AS1
8564,GRCh38______THAP9
8565,GRCh38______LIN54
8566,GRCh38______COPS4
8567,GRCh38______AC073840.1
8568,GRCh38______PLAC8
8569,GRCh38______AC114781.2
8570,GRCh38______COQ2
8571,GRCh38______HPSE
8572,GRCh38______HELQ
8573,GRCh38______MRPS18C
8574,GRCh38______ABRAXAS1
8575,GRCh38______GPAT3
8576,GRCh38______AC021192.1
8577,GRCh38______AC079160.1
8578,GRCh38______AC104063.1
8579,GRCh38______NKX6-1
8580,GRCh38______CDS1
8581,GRCh38______WDFY3
8582,GRCh38______WDFY3-AS1
8583,GRCh38______WDFY3-AS2
8584,GRCh38______AC108021.1
8585,GRCh38______ARHGAP24
8586,GRCh38______MAPK10
8587,GRCh38______AC104827.1
8588,GRCh38______PTPN13
8589,GRCh38______SLC10A6
8590,GRCh38______C4orf36
8591,GRCh38______AC093827.4
8592,GRCh38______AFF1
8593,GRCh38______KLHL8
8594,GRCh38______AC108516.1
8595,GRCh38______HSD17B13
8596,GRCh38______HSD17B11
8597,GRCh38______NUDT9
8598,GRCh38______AC112250.2
8599,GRCh38______SPARCL1
8600,GRCh38______AC093895.1
8601,GRCh38______DSPP
8602,GRCh38______DMP1
8603,GRCh38______IBSP
8604,GRCh38______MEPE
8605,GRCh38______AC131944.1
8606,GRCh38______SPP1
8607,GRCh38______PKD2
8608,GRCh38______ABCG2
8609,GRCh38______PPM1K
8610,GRCh38______PPM1K-DT
8611,GRCh38______AC107067.2
8612,GRCh38______AC107067.1
8613,GRCh38______HERC6
8614,GRCh38______HERC5
8615,GRCh38______PYURF
8616,GRCh38______PIGY
8617,GRCh38______PIGY-DT
8618,GRCh38______HERC3
8619,GRCh38______NAP1L5
8620,GRCh38______FAM13A-AS1
8621,GRCh38______FAM13A
8622,GRCh38______TIGD2
8623,GRCh38______AC104785.1
8624,GRCh38______GPRIN3
8625,GRCh38______AC093866.1
8626,GRCh38______SNCA
8627,GRCh38______AC097478.1
8628,GRCh38______AC097478.3
8629,GRCh38______AC097478.2
8630,GRCh38______SNCA-AS1
8631,GRCh38______MMRN1
8632,GRCh38______AC105445.1
8633,GRCh38______CCSER1
8634,GRCh38______AC004054.1
8635,GRCh38______AC074124.1
8636,GRCh38______AC093810.1
8637,GRCh38______AC097520.2
8638,GRCh38______LNCPRESS2
8639,GRCh38______AC112695.1
8640,GRCh38______GRID2
8641,GRCh38______AC095059.1
8642,GRCh38______AC110800.1
8643,GRCh38______ATOH1
8644,GRCh38______AC096746.1
8645,GRCh38______SMARCAD1
8646,GRCh38______HPGDS
8647,GRCh38______AC109925.2
8648,GRCh38______PDLIM5
8649,GRCh38______AC108067.1
8650,GRCh38______BMPR1B-DT
8651,GRCh38______BMPR1B
8652,GRCh38______UNC5C
8653,GRCh38______AC106881.1
8654,GRCh38______PDHA2
8655,GRCh38______LINC02267
8656,GRCh38______AC096585.1
8657,GRCh38______AC108515.1
8658,GRCh38______STPG2
8659,GRCh38______AC034154.1
8660,GRCh38______STPG2-AS1
8661,GRCh38______AC019077.1
8662,GRCh38______RAP1GDS1
8663,GRCh38______TSPAN5
8664,GRCh38______AC108159.1
8665,GRCh38______AC114811.2
8666,GRCh38______EIF4E
8667,GRCh38______AC019131.1
8668,GRCh38______AC019131.3
8669,GRCh38______METAP1
8670,GRCh38______AC019131.2
8671,GRCh38______ADH5
8672,GRCh38______AP002026.1
8673,GRCh38______ADH4
8674,GRCh38______ADH6
8675,GRCh38______ADH1A
8676,GRCh38______ADH1B
8677,GRCh38______ADH1C
8678,GRCh38______ADH7
8679,GRCh38______C4orf17
8680,GRCh38______TRMT10A
8681,GRCh38______MTTP
8682,GRCh38______AC083902.1
8683,GRCh38______C4orf54
8684,GRCh38______DAPP1
8685,GRCh38______LAMTOR3
8686,GRCh38______DNAJB14
8687,GRCh38______H2AFZ
8688,GRCh38______AC097460.1
8689,GRCh38______DDIT4L
8690,GRCh38______AP001961.1
8691,GRCh38______EMCN
8692,GRCh38______AC097459.1
8693,GRCh38______LINC01216
8694,GRCh38______LINC01217
8695,GRCh38______LINC01218
8696,GRCh38______PPP3CA
8697,GRCh38______AP001816.1
8698,GRCh38______BANK1
8699,GRCh38______AC084277.1
8700,GRCh38______AP002075.1
8701,GRCh38______SLC39A8
8702,GRCh38______AC098487.1
8703,GRCh38______AF213884.3
8704,GRCh38______NFKB1
8705,GRCh38______MANBA
8706,GRCh38______UBE2D3
8707,GRCh38______AC018797.3
8708,GRCh38______UBE2D3-AS1
8709,GRCh38______CISD2
8710,GRCh38______SLC9B1
8711,GRCh38______SLC9B2
8712,GRCh38______BDH2
8713,GRCh38______CENPE
8714,GRCh38______LINC02428
8715,GRCh38______AC105460.2
8716,GRCh38______AC105460.1
8717,GRCh38______TACR3
8718,GRCh38______AC004047.1
8719,GRCh38______LINC02503
8720,GRCh38______AC004052.1
8721,GRCh38______CXXC4
8722,GRCh38______CXXC4-AS1
8723,GRCh38______AC004063.1
8724,GRCh38______AC004053.1
8725,GRCh38______AC096577.1
8726,GRCh38______AC004069.1
8727,GRCh38______TET2
8728,GRCh38______TET2-AS1
8729,GRCh38______PPA2
8730,GRCh38______AC004066.2
8731,GRCh38______ARHGEF38
8732,GRCh38______ARHGEF38-IT1
8733,GRCh38______INTS12
8734,GRCh38______GSTCD
8735,GRCh38______AC008243.1
8736,GRCh38______NPNT
8737,GRCh38______AC109361.2
8738,GRCh38______AC109361.1
8739,GRCh38______TBCK
8740,GRCh38______AIMP1
8741,GRCh38______GIMD1
8742,GRCh38______LINC02173
8743,GRCh38______AC092445.1
8744,GRCh38______DKK2
8745,GRCh38______AC104663.1
8746,GRCh38______PAPSS1
8747,GRCh38______SGMS2
8748,GRCh38______AC096564.1
8749,GRCh38______CYP2U1
8750,GRCh38______AC096564.2
8751,GRCh38______HADH
8752,GRCh38______LEF1
8753,GRCh38______LEF1-AS1
8754,GRCh38______RPL34-AS1
8755,GRCh38______RPL34
8756,GRCh38______OSTC
8757,GRCh38______AC107071.1
8758,GRCh38______ETNPPL
8759,GRCh38______COL25A1
8760,GRCh38______ZCCHC23
8761,GRCh38______SEC24B-AS1
8762,GRCh38______SEC24B
8763,GRCh38______MCUB
8764,GRCh38______CASP6
8765,GRCh38______AC004067.1
8766,GRCh38______PLA2G12A
8767,GRCh38______CFI
8768,GRCh38______AC126283.1
8769,GRCh38______GAR1
8770,GRCh38______RRH
8771,GRCh38______LRIT3
8772,GRCh38______EGF
8773,GRCh38______ELOVL6
8774,GRCh38______ENPEP
8775,GRCh38______AC098798.1
8776,GRCh38______PANCR
8777,GRCh38______PITX2
8778,GRCh38______LINC01438
8779,GRCh38______AC083795.2
8780,GRCh38______AC139718.2
8781,GRCh38______AC139718.1
8782,GRCh38______AC004704.1
8783,GRCh38______FAM241A
8784,GRCh38______AC109347.1
8785,GRCh38______AP1AR
8786,GRCh38______AC109347.2
8787,GRCh38______TIFA
8788,GRCh38______ALPK1
8789,GRCh38______NEUROG2
8790,GRCh38______AC023886.1
8791,GRCh38______ZGRF1
8792,GRCh38______LARP7
8793,GRCh38______MIR302CHG
8794,GRCh38______AC106864.1
8795,GRCh38______ANK2
8796,GRCh38______AC017007.5
8797,GRCh38______AC093879.1
8798,GRCh38______AC093879.2
8799,GRCh38______CAMK2D
8800,GRCh38______ARSJ
8801,GRCh38______AC104779.1
8802,GRCh38______UGT8
8803,GRCh38______NDST4
8804,GRCh38______MTRNR2L13
8805,GRCh38______AC106892.1
8806,GRCh38______AC093765.5
8807,GRCh38______AC093765.4
8808,GRCh38______AC093765.3
8809,GRCh38______AC093765.2
8810,GRCh38______TRAM1L1
8811,GRCh38______LINC02262
8812,GRCh38______LINC02263
8813,GRCh38______LINC01378
8814,GRCh38______AC092661.1
8815,GRCh38______LINC02264
8816,GRCh38______NDST3
8817,GRCh38______SNHG8
8818,GRCh38______PRSS12
8819,GRCh38______METTL14-DT
8820,GRCh38______METTL14
8821,GRCh38______SEC24D
8822,GRCh38______SYNPO2
8823,GRCh38______MYOZ2
8824,GRCh38______USP53
8825,GRCh38______C4orf3
8826,GRCh38______FABP2
8827,GRCh38______AC093752.3
8828,GRCh38______AC093752.2
8829,GRCh38______PDE5A
8830,GRCh38______AC080089.2
8831,GRCh38______LINC01365
8832,GRCh38______LINC02502
8833,GRCh38______AC097173.2
8834,GRCh38______MAD2L1
8835,GRCh38______AC073475.1
8836,GRCh38______AC025741.1
8837,GRCh38______PRDM5
8838,GRCh38______NDNF
8839,GRCh38______AC105254.1
8840,GRCh38______TNIP3
8841,GRCh38______QRFPR
8842,GRCh38______ANXA5
8843,GRCh38______TMEM155
8844,GRCh38______AC079341.1
8845,GRCh38______EXOSC9
8846,GRCh38______CCNA2
8847,GRCh38______BBS7
8848,GRCh38______AC079341.2
8849,GRCh38______TRPC3
8850,GRCh38______KIAA1109
8851,GRCh38______ADAD1
8852,GRCh38______IL2
8853,GRCh38______IL21
8854,GRCh38______IL21-AS1
8855,GRCh38______AC053545.1
8856,GRCh38______BBS12
8857,GRCh38______FGF2
8858,GRCh38______AC021205.3
8859,GRCh38______NUDT6
8860,GRCh38______SPATA5
8861,GRCh38______AC026402.2
8862,GRCh38______SPRY1
8863,GRCh38______AC093821.1
8864,GRCh38______LINC02435
8865,GRCh38______LINC01091
8866,GRCh38______AC096732.1
8867,GRCh38______AC108075.1
8868,GRCh38______AC121154.1
8869,GRCh38______AC133530.1
8870,GRCh38______LINC02516
8871,GRCh38______ANKRD50
8872,GRCh38______FAT4
8873,GRCh38______AC104664.1
8874,GRCh38______LINC02379
8875,GRCh38______AC097528.1
8876,GRCh38______AC096773.1
8877,GRCh38______AC093772.1
8878,GRCh38______AC093772.2
