,Gene_MEND52
4315,GRCh38__AC226101.1
4316,GRCh38__BUB1
4317,GRCh38__AC114776.1
4318,GRCh38__ACOXL
4319,GRCh38__MIR4435-2HG
4320,GRCh38__ACOXL-AS1
4321,GRCh38__BCL2L11
4322,GRCh38__AC108463.2
4323,GRCh38__AC108463.3
4324,GRCh38__AC068491.2
4325,GRCh38__AC068491.3
4326,GRCh38__AC017002.5
4327,GRCh38__AC017002.3
4328,GRCh38__AC017002.1
4329,GRCh38__AC017002.2
4330,GRCh38__ANAPC1
4331,GRCh38__MERTK
4332,GRCh38__TMEM87B
4333,GRCh38__FBLN7
4334,GRCh38__ZC3H8
4335,GRCh38__ZC3H6
4336,GRCh38__RGPD8
4337,GRCh38__TTL
4338,GRCh38__POLR1B
4339,GRCh38__CHCHD5
4340,GRCh38__AC012442.1
4341,GRCh38__AC079922.2
4342,GRCh38__SLC20A1
4343,GRCh38__NT5DC4
4344,GRCh38__CKAP2L
4345,GRCh38__IL1A
4346,GRCh38__IL1B
4347,GRCh38__IL37
4348,GRCh38__IL36G
4349,GRCh38__IL36A
4350,GRCh38__IL36B
4351,GRCh38__IL36RN
4352,GRCh38__IL1F10
4353,GRCh38__IL1RN
4354,GRCh38__PSD4
4355,GRCh38__AC016683.1
4356,GRCh38__PAX8
4357,GRCh38__IGKV1OR2-108
4358,GRCh38__AC016745.1
4359,GRCh38__AC016745.2
4360,GRCh38__CBWD2
4361,GRCh38__FOXD4L1
4362,GRCh38__LINC01961
4363,GRCh38__PGM5P4-AS1
4364,GRCh38__FAM138B
4365,GRCh38__RABL2A
4366,GRCh38__AC017074.2
4367,GRCh38__AC017074.1
4368,GRCh38__SLC35F5
4369,GRCh38__AC104653.2
4370,GRCh38__AC104653.1
4371,GRCh38__AC110769.2
4372,GRCh38__ACTR3
4373,GRCh38__LINC01191
4374,GRCh38__AC110769.1
4375,GRCh38__AC010982.1
4376,GRCh38__DPP10
4377,GRCh38__DPP10-AS3
4378,GRCh38__DPP10-AS2
4379,GRCh38__DPP10-AS1
4380,GRCh38__AC009312.1
4381,GRCh38__DDX18
4382,GRCh38__AC009404.1
4383,GRCh38__CCDC93
4384,GRCh38__AC009303.2
4385,GRCh38__AC009303.3
4386,GRCh38__INSIG2
4387,GRCh38__AC093901.1
4388,GRCh38__LINC01956
4389,GRCh38__EN1
4390,GRCh38__MARCO
4391,GRCh38__AC013457.1
4392,GRCh38__C1QL2
4393,GRCh38__STEAP3
4394,GRCh38__STEAP3-AS1
4395,GRCh38__C2orf76
4396,GRCh38__DBI
4397,GRCh38__TMEM37
4398,GRCh38__SCTR
4399,GRCh38__AC013275.1
4400,GRCh38__CFAP221
4401,GRCh38__TMEM177
4402,GRCh38__PTPN4
4403,GRCh38__EPB41L5
4404,GRCh38__AC012363.1
4405,GRCh38__TMEM185B
4406,GRCh38__RALB
4407,GRCh38__AC012363.2
4408,GRCh38__INHBB
4409,GRCh38__AC073257.2
4410,GRCh38__AC073257.1
4411,GRCh38__AC018866.1
4412,GRCh38__GLI2
4413,GRCh38__AC017033.1
4414,GRCh38__AC067960.1
4415,GRCh38__AC079988.1
4416,GRCh38__TFCP2L1
4417,GRCh38__CLASP1
4418,GRCh38__AC012447.1
4419,GRCh38__NIFK-AS1
4420,GRCh38__NIFK
4421,GRCh38__TSN
4422,GRCh38__LINC01823
4423,GRCh38__AC062020.1
4424,GRCh38__LINC01826
4425,GRCh38__AC073409.1
4426,GRCh38__AC079154.1
4427,GRCh38__CNTNAP5
4428,GRCh38__LINC01889
4429,GRCh38__LINC01941
4430,GRCh38__AC023347.1
4431,GRCh38__GYPC
4432,GRCh38__TEX51
4433,GRCh38__AC012508.2
4434,GRCh38__AC012508.1
4435,GRCh38__BIN1
4436,GRCh38__CYP27C1
4437,GRCh38__ERCC3
4438,GRCh38__MAP3K2
4439,GRCh38__AC068282.1
4440,GRCh38__PROC
4441,GRCh38__IWS1
4442,GRCh38__AC010976.1
4443,GRCh38__MYO7B
4444,GRCh38__AC010976.2
4445,GRCh38__LIMS2
4446,GRCh38__GPR17
4447,GRCh38__WDR33
4448,GRCh38__SFT2D3
4449,GRCh38__POLR2D
4450,GRCh38__AMMECR1L
4451,GRCh38__AC012306.2
4452,GRCh38__SAP130
4453,GRCh38__UGGT1
4454,GRCh38__HS6ST1
4455,GRCh38__AC012451.1
4456,GRCh38__AC068483.1
4457,GRCh38__LINC01854
4458,GRCh38__LINC02572
4459,GRCh38__LINC01856
4460,GRCh38__RAB6C
4461,GRCh38__POTEF
4462,GRCh38__AC018865.1
4463,GRCh38__CCDC74B
4464,GRCh38__SMPD4
4465,GRCh38__MZT2B
4466,GRCh38__TUBA3E
4467,GRCh38__CCDC115
4468,GRCh38__IMP4
4469,GRCh38__PTPN18
4470,GRCh38__POTEI
4471,GRCh38__AC013269.2
4472,GRCh38__CFC1B
4473,GRCh38__AC013269.1
4474,GRCh38__PRSS40B
4475,GRCh38__PRSS40A
4476,GRCh38__AC140481.2
4477,GRCh38__CFC1
4478,GRCh38__POTEJ
4479,GRCh38__GPR148
4480,GRCh38__AC140481.1
4481,GRCh38__AMER3
4482,GRCh38__AC133785.1
4483,GRCh38__ARHGEF4
4484,GRCh38__AC009477.2
4485,GRCh38__FAM168B
4486,GRCh38__PLEKHB2
4487,GRCh38__POTEE
4488,GRCh38__RAB6D
4489,GRCh38__AC073869.5
4490,GRCh38__LINC01120
4491,GRCh38__AC073869.3
4492,GRCh38__MZT2A
4493,GRCh38__TUBA3D
4494,GRCh38__CCDC74A
4495,GRCh38__LINC01087
4496,GRCh38__C2orf27B
4497,GRCh38__AC103564.1
4498,GRCh38__AJ239322.2
4499,GRCh38__AJ239322.1
4500,GRCh38__LINC01945
4501,GRCh38__ANKRD30BL
4502,GRCh38__AC097532.1
4503,GRCh38__AC097532.2
4504,GRCh38__GPR39
4505,GRCh38__LYPD1
4506,GRCh38__AC010974.1
4507,GRCh38__NCKAP5
4508,GRCh38__AC016909.2
4509,GRCh38__AC010890.1
4510,GRCh38__AC011243.1
4511,GRCh38__MGAT5
4512,GRCh38__TMEM163
4513,GRCh38__CCNT2-AS1
4514,GRCh38__ACMSD
4515,GRCh38__CCNT2
4516,GRCh38__MAP3K19
4517,GRCh38__RAB3GAP1
4518,GRCh38__ZRANB3
4519,GRCh38__R3HDM1
4520,GRCh38__UBXN4
4521,GRCh38__LCT
4522,GRCh38__AC011893.1
4523,GRCh38__MCM6
4524,GRCh38__DARS
4525,GRCh38__DARS-AS1
4526,GRCh38__AC068492.1
4527,GRCh38__CXCR4
4528,GRCh38__THSD7B
4529,GRCh38__HNMT
4530,GRCh38__LINC01832
4531,GRCh38__AC114763.1
4532,GRCh38__AC114763.2
4533,GRCh38__SPOPL
4534,GRCh38__AC092620.3
4535,GRCh38__AC092620.1
4536,GRCh38__NXPH2
4537,GRCh38__AC062021.1
4538,GRCh38__AC016710.1
4539,GRCh38__AC078851.1
4540,GRCh38__LINC01853
4541,GRCh38__LRP1B
4542,GRCh38__KYNU
4543,GRCh38__ARHGAP15
4544,GRCh38__AC013437.1
4545,GRCh38__AC096558.1
4546,GRCh38__AC096558.2
4547,GRCh38__AC079793.1
4548,GRCh38__AC092652.1
4549,GRCh38__AC092652.2
4550,GRCh38__AC079584.2
4551,GRCh38__AC079584.1
4552,GRCh38__AC016910.1
4553,GRCh38__GTDC1
4554,GRCh38__ZEB2
4555,GRCh38__AC009951.2
4556,GRCh38__ZEB2-AS1
4557,GRCh38__LINC01412
4558,GRCh38__TEX41
4559,GRCh38__AC023128.1
4560,GRCh38__LINC01966
4561,GRCh38__AC096666.1
4562,GRCh38__AC092484.1
4563,GRCh38__AC079163.1
4564,GRCh38__AC062031.1
4565,GRCh38__LINC01911
4566,GRCh38__AC062032.1
4567,GRCh38__ACVR2A
4568,GRCh38__AC009480.1
4569,GRCh38__ORC4
4570,GRCh38__MBD5
4571,GRCh38__EPC2
4572,GRCh38__AC105402.3
4573,GRCh38__KIF5C
4574,GRCh38__LYPD6B
4575,GRCh38__LYPD6
4576,GRCh38__MMADHC
4577,GRCh38__AC007364.1
4578,GRCh38__LINC01931
4579,GRCh38__LINC01818
4580,GRCh38__LINC01817
4581,GRCh38__RND3
4582,GRCh38__LINC01920
4583,GRCh38__AC104777.3
4584,GRCh38__AC104777.2
4585,GRCh38__AC104777.1
4586,GRCh38__AC023469.2
4587,GRCh38__AC023469.1
4588,GRCh38__AC018731.1
4589,GRCh38__RBM43
4590,GRCh38__NMI
4591,GRCh38__TNFAIP6
4592,GRCh38__RIF1
4593,GRCh38__NEB
4594,GRCh38__ARL5A
4595,GRCh38__AC068547.1
4596,GRCh38__CACNB4
4597,GRCh38__AC079790.1
4598,GRCh38__STAM2
4599,GRCh38__FMNL2
4600,GRCh38__PRPF40A
4601,GRCh38__ARL6IP6
4602,GRCh38__AC079150.1
4603,GRCh38__LINC01850
4604,GRCh38__RPRM
4605,GRCh38__GALNT13
4606,GRCh38__AC009227.1
4607,GRCh38__AC009227.2
4608,GRCh38__AC061961.1
4609,GRCh38__KCNJ3
4610,GRCh38__AC092625.1
4611,GRCh38__LINC01876
4612,GRCh38__AC074099.1
4613,GRCh38__NR4A2
4614,GRCh38__GPD2
4615,GRCh38__LINC01958
4616,GRCh38__GALNT5
4617,GRCh38__ERMN
4618,GRCh38__CYTIP
4619,GRCh38__ACVR1C
4620,GRCh38__AC019186.1
4621,GRCh38__ACVR1
4622,GRCh38__UPP2
4623,GRCh38__AC013731.1
4624,GRCh38__AC091488.1
4625,GRCh38__CCDC148-AS1
4626,GRCh38__CCDC148
4627,GRCh38__PKP4
4628,GRCh38__PKP4-AS1
4629,GRCh38__AC005042.2
4630,GRCh38__DAPL1
4631,GRCh38__TANC1
4632,GRCh38__WDSUB1
4633,GRCh38__BAZ2B
4634,GRCh38__AC008277.1
4635,GRCh38__AC009506.1
4636,GRCh38__AC009961.1
4637,GRCh38__MARCH7
4638,GRCh38__CD302
4639,GRCh38__LY75-CD302
4640,GRCh38__LY75
4641,GRCh38__PLA2R1
4642,GRCh38__ITGB6
4643,GRCh38__LINC02478
4644,GRCh38__RBMS1
4645,GRCh38__AC009313.1
4646,GRCh38__TANK
4647,GRCh38__AC009299.3
4648,GRCh38__LINC01806
4649,GRCh38__PSMD14
4650,GRCh38__TBR1
4651,GRCh38__AC009487.1
4652,GRCh38__SLC4A10
4653,GRCh38__DPP4
4654,GRCh38__AC008063.1
4655,GRCh38__AC008063.2
4656,GRCh38__GCG
4657,GRCh38__AC007750.1
4658,GRCh38__FAP
4659,GRCh38__IFIH1
4660,GRCh38__GCA
4661,GRCh38__KCNH7
4662,GRCh38__AC011900.1
4663,GRCh38__FIGN
4664,GRCh38__AC016766.1
4665,GRCh38__GRB14
4666,GRCh38__COBLL1
4667,GRCh38__AC019197.1
4668,GRCh38__SLC38A11
4669,GRCh38__SCN3A
4670,GRCh38__SCN2A
4671,GRCh38__CSRNP3
4672,GRCh38__GALNT3
4673,GRCh38__AC009495.3
4674,GRCh38__AC009495.1
4675,GRCh38__AC009495.2
4676,GRCh38__TTC21B
4677,GRCh38__AC010127.1
4678,GRCh38__SCN1A
4679,GRCh38__SCN9A
4680,GRCh38__SCN7A
4681,GRCh38__XIRP2
4682,GRCh38__XIRP2-AS1
4683,GRCh38__AC073050.1
4684,GRCh38__AC016723.1
4685,GRCh38__B3GALT1
4686,GRCh38__STK39
4687,GRCh38__CERS6
4688,GRCh38__NOSTRIN
4689,GRCh38__SPC25
4690,GRCh38__G6PC2
4691,GRCh38__ABCB11
4692,GRCh38__DHRS9
4693,GRCh38__AC007556.1
4694,GRCh38__LRP2
4695,GRCh38__BBS5
4696,GRCh38__AC093899.2
4697,GRCh38__KLHL41
4698,GRCh38__FASTKD1
4699,GRCh38__PPIG
4700,GRCh38__CCDC173
4701,GRCh38__PHOSPHO2
4702,GRCh38__KLHL23
4703,GRCh38__SSB
4704,GRCh38__METTL5
4705,GRCh38__UBR3
4706,GRCh38__MYO3B
4707,GRCh38__AC012594.1
4708,GRCh38__AC007277.1
4709,GRCh38__LINC01124
4710,GRCh38__SP5
4711,GRCh38__AC007405.1
4712,GRCh38__AC007405.3
4713,GRCh38__ERICH2
4714,GRCh38__GAD1
4715,GRCh38__AC007405.2
4716,GRCh38__GORASP2
4717,GRCh38__TLK1
4718,GRCh38__METTL8
4719,GRCh38__DCAF17
4720,GRCh38__CYBRD1
4721,GRCh38__DYNC1I2
4722,GRCh38__SLC25A12
4723,GRCh38__HAT1
4724,GRCh38__METAP1D
4725,GRCh38__DLX1
4726,GRCh38__DLX2
4727,GRCh38__DLX2-DT
4728,GRCh38__AC104088.1
4729,GRCh38__ITGA6
4730,GRCh38__AC078883.2
4731,GRCh38__AC078883.3
4732,GRCh38__AC078883.1
4733,GRCh38__PDK1
4734,GRCh38__RAPGEF4-AS1
4735,GRCh38__RAPGEF4
4736,GRCh38__MAP3K20
4737,GRCh38__MAP3K20-AS1
4738,GRCh38__CDCA7
4739,GRCh38__AC106900.2
4740,GRCh38__AC106900.1
4741,GRCh38__SP3
4742,GRCh38__AC016737.1
4743,GRCh38__AC016737.2
4744,GRCh38__LINC01960
4745,GRCh38__OLA1
4746,GRCh38__LINC01305
4747,GRCh38__SP9
4748,GRCh38__CIR1
4749,GRCh38__SCRN3
4750,GRCh38__GPR155
4751,GRCh38__AC010894.2
4752,GRCh38__AC010894.3
4753,GRCh38__WIPF1
4754,GRCh38__AC010894.4
4755,GRCh38__CHRNA1
4756,GRCh38__CHN1
4757,GRCh38__ATF2
4758,GRCh38__AC096649.1
4759,GRCh38__ATP5MC3
4760,GRCh38__AC093459.1
4761,GRCh38__AC016751.2
4762,GRCh38__AC016751.1
4763,GRCh38__LNPK
4764,GRCh38__EVX2
4765,GRCh38__HOXD13
4766,GRCh38__HOXD12
4767,GRCh38__HOXD11
4768,GRCh38__HOXD10
4769,GRCh38__HOXD-AS2
4770,GRCh38__HOXD9
4771,GRCh38__HOXD8
4772,GRCh38__HOXD3
4773,GRCh38__AC009336.2
4774,GRCh38__HOXD4
4775,GRCh38__HAGLR
4776,GRCh38__AC009336.1
4777,GRCh38__HAGLROS
4778,GRCh38__HOXD1
4779,GRCh38__MTX2
4780,GRCh38__AC017048.1
4781,GRCh38__AC017048.2
4782,GRCh38__AC017048.3
4783,GRCh38__LINC01116
4784,GRCh38__LINC01117
4785,GRCh38__AC092162.2
4786,GRCh38__AC073636.1
4787,GRCh38__AC074286.1
4788,GRCh38__AC079305.3
4789,GRCh38__HNRNPA3
4790,GRCh38__NFE2L2
4791,GRCh38__AC079305.1
4792,GRCh38__AC019080.3
4793,GRCh38__AC019080.4
4794,GRCh38__AGPS
4795,GRCh38__TTC30B
4796,GRCh38__AC073834.1
4797,GRCh38__TTC30A
4798,GRCh38__PDE11A
4799,GRCh38__PDE11A-1
4800,GRCh38__AC012499.1
4801,GRCh38__RBM45
4802,GRCh38__OSBPL6
4803,GRCh38__AC009948.1
4804,GRCh38__PRKRA
4805,GRCh38__PJVK
4806,GRCh38__FKBP7
4807,GRCh38__PLEKHA3
4808,GRCh38__TTN-AS1
4809,GRCh38__TTN
4810,GRCh38__AC009948.4
4811,GRCh38__AC009948.3
4812,GRCh38__AC010680.3
4813,GRCh38__AC010680.2
4814,GRCh38__AC010680.4
4815,GRCh38__AC010680.5
4816,GRCh38__AC010680.1
4817,GRCh38__CCDC141
4818,GRCh38__SESTD1
4819,GRCh38__AC093911.1
4820,GRCh38__ZNF385B
4821,GRCh38__CWC22
4822,GRCh38__AC009478.1
4823,GRCh38__SCHLAP1
4824,GRCh38__UBE2E3
4825,GRCh38__AC104076.1
4826,GRCh38__AC068196.1
4827,GRCh38__LINC01934
4828,GRCh38__AC020595.1
4829,GRCh38__ITGA4
4830,GRCh38__CERKL
4831,GRCh38__NEUROD1
4832,GRCh38__AC013733.2
4833,GRCh38__AC013733.1
4834,GRCh38__AC009962.1
4835,GRCh38__SSFA2
4836,GRCh38__PPP1R1C
4837,GRCh38__PDE1A
4838,GRCh38__DNAJC10
4839,GRCh38__FRZB
4840,GRCh38__NCKAP1
4841,GRCh38__DUSP19
4842,GRCh38__AC064871.1
4843,GRCh38__NUP35
4844,GRCh38__AC021851.1
4845,GRCh38__AC093639.1
4846,GRCh38__AC096667.1
4847,GRCh38__ZNF804A
4848,GRCh38__AC007966.1
4849,GRCh38__FSIP2
4850,GRCh38__FSIP2-AS1
4851,GRCh38__LINC01473
4852,GRCh38__AC017071.1
4853,GRCh38__ZC3H15
4854,GRCh38__ITGAV
4855,GRCh38__AC017101.1
4856,GRCh38__FAM171B
4857,GRCh38__ZSWIM2
4858,GRCh38__AC007319.1
4859,GRCh38__CALCRL
4860,GRCh38__TFPI
4861,GRCh38__LINC01090
4862,GRCh38__GULP1
4863,GRCh38__DIRC1
4864,GRCh38__COL3A1
4865,GRCh38__COL5A2
4866,GRCh38__AC133106.1
4867,GRCh38__WDR75
4868,GRCh38__SLC40A1
4869,GRCh38__ASNSD1
4870,GRCh38__ANKAR
4871,GRCh38__OSGEPL1
4872,GRCh38__OSGEPL1-AS1
4873,GRCh38__AC013468.1
4874,GRCh38__ORMDL1
4875,GRCh38__PMS1
4876,GRCh38__C2orf88
4877,GRCh38__MSTN
4878,GRCh38__HIBCH
4879,GRCh38__INPP1
4880,GRCh38__MFSD6
4881,GRCh38__AC093388.1
4882,GRCh38__NEMP2
4883,GRCh38__AC108047.1
4884,GRCh38__NAB1
4885,GRCh38__AC006460.1
4886,GRCh38__AC005540.1
4887,GRCh38__GLS
4888,GRCh38__STAT1
4889,GRCh38__AC067945.2
4890,GRCh38__STAT4
4891,GRCh38__AC092614.1
4892,GRCh38__MYO1B
4893,GRCh38__NABP1
4894,GRCh38__AC098872.1
4895,GRCh38__CAVIN2
4896,GRCh38__AC098617.1
4897,GRCh38__TMEFF2
4898,GRCh38__AC062039.1
4899,GRCh38__AC013401.1
4900,GRCh38__PCGEM1
4901,GRCh38__AC068135.2
4902,GRCh38__LINC01821
4903,GRCh38__LINC01790
4904,GRCh38__AC010983.1
4905,GRCh38__AC104823.1
4906,GRCh38__AC064834.1
4907,GRCh38__LINC01825
4908,GRCh38__LINC01827
4909,GRCh38__SLC39A10
4910,GRCh38__DNAH7
4911,GRCh38__STK17B
4912,GRCh38__AC114760.2
4913,GRCh38__HECW2
4914,GRCh38__AC020571.1
4915,GRCh38__AC068544.1
4916,GRCh38__CCDC150
4917,GRCh38__GTF3C3
4918,GRCh38__C2orf66
4919,GRCh38__PGAP1
4920,GRCh38__ANKRD44
4921,GRCh38__AC013264.1
4922,GRCh38__AC010746.1
4923,GRCh38__SF3B1
4924,GRCh38__COQ10B
4925,GRCh38__HSPD1
4926,GRCh38__HSPE1
4927,GRCh38__HSPE1-MOB4
4928,GRCh38__MOB4
4929,GRCh38__RFTN2
4930,GRCh38__AC011997.1
4931,GRCh38__MARS2
4932,GRCh38__BOLL
4933,GRCh38__PLCL1
4934,GRCh38__AC020719.1
4935,GRCh38__LINC01923
4936,GRCh38__AC019330.1
4937,GRCh38__AC020718.1
4938,GRCh38__SATB2
4939,GRCh38__AC016746.1
4940,GRCh38__SATB2-AS1
4941,GRCh38__LINC01877
4942,GRCh38__FTCDNL1
4943,GRCh38__C2orf69
4944,GRCh38__TYW5
4945,GRCh38__MAIP1
4946,GRCh38__SPATS2L
4947,GRCh38__KCTD18
4948,GRCh38__SGO2
4949,GRCh38__AOX1
4950,GRCh38__LINC01792
4951,GRCh38__AC007163.1
4952,GRCh38__BZW1
4953,GRCh38__CLK1
4954,GRCh38__PPIL3
4955,GRCh38__NIF3L1
4956,GRCh38__ORC2
4957,GRCh38__AC005037.1
4958,GRCh38__FAM126B
4959,GRCh38__NDUFB3
4960,GRCh38__AC007272.1
4961,GRCh38__CFLAR
4962,GRCh38__CFLAR-AS1
4963,GRCh38__CASP10
4964,GRCh38__CASP8
4965,GRCh38__ALS2CR12
4966,GRCh38__TRAK2
4967,GRCh38__STRADB
4968,GRCh38__C2CD6
4969,GRCh38__TMEM237
4970,GRCh38__MPP4
4971,GRCh38__ALS2
4972,GRCh38__CDK15
4973,GRCh38__AC069148.1
4974,GRCh38__FZD7
4975,GRCh38__KIAA2012
4976,GRCh38__AC079354.1
4977,GRCh38__AC079354.3
4978,GRCh38__SUMO1
4979,GRCh38__NOP58
4980,GRCh38__AC064836.2
4981,GRCh38__AC064836.3
4982,GRCh38__BMPR2
4983,GRCh38__FAM117B
4984,GRCh38__ICA1L
4985,GRCh38__WDR12
4986,GRCh38__CARF
4987,GRCh38__NBEAL1
4988,GRCh38__CYP20A1
4989,GRCh38__ABI2
4990,GRCh38__AC080075.1
4991,GRCh38__RAPH1
4992,GRCh38__CD28
4993,GRCh38__CTLA4
4994,GRCh38__ICOS
4995,GRCh38__AC009965.1
4996,GRCh38__AC009498.1
4997,GRCh38__AC016903.1
4998,GRCh38__AC016903.2
4999,GRCh38__PARD3B
5000,GRCh38__NRP2
5001,GRCh38__AC007362.1
5002,GRCh38__AC007679.1
5003,GRCh38__INO80D
5004,GRCh38__AC007383.2
5005,GRCh38__NDUFS1
5006,GRCh38__AC007383.3
5007,GRCh38__EEF1B2
5008,GRCh38__GPR1
5009,GRCh38__ZDBF2
5010,GRCh38__ADAM23
5011,GRCh38__AC010731.2
5012,GRCh38__AC010731.3
5013,GRCh38__FAM237A
5014,GRCh38__DYTN
5015,GRCh38__MDH1B
5016,GRCh38__FASTKD2
5017,GRCh38__AC008269.2
5018,GRCh38__AC008269.1
5019,GRCh38__CPO
5020,GRCh38__KLF7
5021,GRCh38__AC007879.1
5022,GRCh38__AC007879.3
5023,GRCh38__AC007879.2
5024,GRCh38__AC007879.4
5025,GRCh38__MYOSLID
5026,GRCh38__AC009226.1
5027,GRCh38__LINC01802
5028,GRCh38__CREB1
5029,GRCh38__METTL21A
5030,GRCh38__LINC01857
5031,GRCh38__CCNYL1
5032,GRCh38__AC096772.1
5033,GRCh38__FZD5
5034,GRCh38__PLEKHM3
5035,GRCh38__CRYGD
5036,GRCh38__CRYGC
5037,GRCh38__CRYGB
5038,GRCh38__CRYGA
5039,GRCh38__C2orf80
5040,GRCh38__IDH1
5041,GRCh38__IDH1-AS1
5042,GRCh38__PIKFYVE
5043,GRCh38__PTH2R
5044,GRCh38__MAP2
5045,GRCh38__UNC80
5046,GRCh38__RPE
5047,GRCh38__KANSL1L
5048,GRCh38__AC007038.2
5049,GRCh38__AC007038.1
5050,GRCh38__ACADL
5051,GRCh38__MYL1
5052,GRCh38__LANCL1-AS1
5053,GRCh38__LANCL1
5054,GRCh38__CPS1
5055,GRCh38__ERBB4
5056,GRCh38__LINC01878
5057,GRCh38__AC108066.1
5058,GRCh38__IKZF2
5059,GRCh38__AC079610.2
5060,GRCh38__LINC01953
5061,GRCh38__AC079610.3
5062,GRCh38__AC079610.1
5063,GRCh38__SPAG16
5064,GRCh38__AC068051.1
5065,GRCh38__VWC2L
5066,GRCh38__BARD1
5067,GRCh38__AC016708.1
5068,GRCh38__ABCA12
5069,GRCh38__AC072062.1
5070,GRCh38__AC073284.1
5071,GRCh38__ATIC
5072,GRCh38__FN1
5073,GRCh38__AC012462.3
5074,GRCh38__AC012462.1
5075,GRCh38__AC012462.2
5076,GRCh38__AC012668.2
5077,GRCh38__AC012668.3
5078,GRCh38__AC012668.1
5079,GRCh38__LINC00607
5080,GRCh38__LINC01614
5081,GRCh38__AC122136.1
5082,GRCh38__AC093382.1
5083,GRCh38__MREG
5084,GRCh38__PECR
5085,GRCh38__TMEM169
5086,GRCh38__XRCC5
5087,GRCh38__LINC01963
5088,GRCh38__MARCH4
5089,GRCh38__AC012513.1
5090,GRCh38__AC069155.1
5091,GRCh38__AC098820.2
5092,GRCh38__SMARCAL1
5093,GRCh38__AC098820.3
5094,GRCh38__RPL37A
5095,GRCh38__LINC01280
5096,GRCh38__AC073321.1
5097,GRCh38__IGFBP2
5098,GRCh38__IGFBP5
5099,GRCh38__AC007563.2
5100,GRCh38__AC007563.1
5101,GRCh38__AC007557.2
5102,GRCh38__TNP1
5103,GRCh38__AC007557.4
5104,GRCh38__AC007557.1
5105,GRCh38__AC007557.3
5106,GRCh38__LINC01921
5107,GRCh38__AC007749.1
5108,GRCh38__DIRC3-AS1
5109,GRCh38__DIRC3
5110,GRCh38__TNS1
5111,GRCh38__AC010136.1
5112,GRCh38__RUFY4
5113,GRCh38__CXCR2
5114,GRCh38__CXCR1
5115,GRCh38__ARPC2
5116,GRCh38__GPBAR1
5117,GRCh38__AAMP
5118,GRCh38__PNKD
5119,GRCh38__TMBIM1
5120,GRCh38__CATIP-AS2
5121,GRCh38__CATIP
5122,GRCh38__SLC11A1
5123,GRCh38__CTDSP1
5124,GRCh38__AC021016.3
5125,GRCh38__VIL1
5126,GRCh38__USP37
5127,GRCh38__CNOT9
5128,GRCh38__PLCD4
5129,GRCh38__AC012510.1
5130,GRCh38__ZNF142
5131,GRCh38__BCS1L
5132,GRCh38__RNF25
5133,GRCh38__STK36
5134,GRCh38__TTLL4
5135,GRCh38__CYP27A1
5136,GRCh38__AC009974.1
5137,GRCh38__PRKAG3
5138,GRCh38__WNT6
5139,GRCh38__WNT10A
5140,GRCh38__LINC01494
5141,GRCh38__AC097468.2
5142,GRCh38__CDK5R2
5143,GRCh38__LINC00608
5144,GRCh38__FEV
5145,GRCh38__CRYBA2
5146,GRCh38__AC097468.1
5147,GRCh38__CFAP65
5148,GRCh38__IHH
5149,GRCh38__AC097468.3
5150,GRCh38__NHEJ1
5151,GRCh38__AC068946.1
5152,GRCh38__SLC23A3
5153,GRCh38__CNPPD1
5154,GRCh38__RETREG2
5155,GRCh38__ZFAND2B
5156,GRCh38__ABCB6
5157,GRCh38__AC068946.2
5158,GRCh38__ATG9A
5159,GRCh38__ANKZF1
5160,GRCh38__GLB1L
5161,GRCh38__STK16
5162,GRCh38__TUBA4A
5163,GRCh38__TUBA4B
5164,GRCh38__DNAJB2
5165,GRCh38__PTPRN
5166,GRCh38__AC114803.1
5167,GRCh38__RESP18
5168,GRCh38__DNPEP
5169,GRCh38__AC053503.2
5170,GRCh38__DES
5171,GRCh38__AC053503.4
5172,GRCh38__SPEG
5173,GRCh38__AC053503.1
5174,GRCh38__AC053503.5
5175,GRCh38__GMPPA
5176,GRCh38__ASIC4
5177,GRCh38__CHPF
5178,GRCh38__TMEM198
5179,GRCh38__AC009955.3
5180,GRCh38__OBSL1
5181,GRCh38__AC009955.4
5182,GRCh38__INHA
5183,GRCh38__STK11IP
5184,GRCh38__AC009955.1
5185,GRCh38__SLC4A3
5186,GRCh38__AC009955.2
5187,GRCh38__AC009502.1
5188,GRCh38__LINC01803
5189,GRCh38__AC019211.1
5190,GRCh38__AC093083.1
5191,GRCh38__AC067956.1
5192,GRCh38__AC093843.1
5193,GRCh38__EPHA4
5194,GRCh38__AC079834.2
5195,GRCh38__AC068489.1
5196,GRCh38__PAX3
5197,GRCh38__CCDC140
5198,GRCh38__AC010980.2
5199,GRCh38__SGPP2
5200,GRCh38__AC097461.1
5201,GRCh38__FARSB
5202,GRCh38__MOGAT1
5203,GRCh38__ACSL3
5204,GRCh38__AC013476.1
5205,GRCh38__KCNE4
5206,GRCh38__AC013448.1
5207,GRCh38__AC013448.2
5208,GRCh38__SCG2
5209,GRCh38__AP1S3
5210,GRCh38__WDFY1
5211,GRCh38__MRPL44
5212,GRCh38__AC073641.1
5213,GRCh38__SERPINE2
5214,GRCh38__FAM124B
5215,GRCh38__AC073052.2
5216,GRCh38__CUL3
5217,GRCh38__CCDC195
5218,GRCh38__DOCK10
5219,GRCh38__NYAP2
5220,GRCh38__AC016717.2
5221,GRCh38__AC062015.1
5222,GRCh38__IRS1
